Name,Address,City,State,Zip
Chili's Grill & Bar,11555 Dallas Pkwy,Frisco,TX,75034
Lazy Dog Restaurant & Bar,8401 Preston Rd,Plano,TX,75024
The Community Grill,2525 Main St #400,Frisco,TX,75034
Maple Street Biscuit Company Frisco,3288 Main St #111,Frisco,TX,75034
54th Street Restaurant & Drafthouse-Frisco,9449 Dallas Pkwy,Frisco,TX,75033
Mario's Mexican & Salvadorian Restaurant,2831 Eldorado Pkwy #112,Little Elm,TX,75068
Eggsellent Cafe,12388 FM 423,Frisco,TX,75033
Frisco Diner,9250 Dallas Pkwy,Frisco,TX,75033
Applebee's Grill + Bar,2672 FM 423,Little Elm,TX,75068
Uncork'd Bar & Grill Frisco,615 Main St Suite 100,Frisco,TX,75034
Bar Siena,832 W Randolph St,Chicago,IL,60607
Barrio,65 W Kinzie St,Chicago,IL,60654
Girl & The Goat,809 W Randolph St,Chicago,IL,60607
Virtue Restaurant,1462 E 53rd St,Chicago,IL,60615
Boka,1729 N Halsted St,Chicago,IL,60614
The Purple Pig Restaurant,444 Michigan Ave,Chicago,IL,60611
Quality Bistro,120 W 55th St,New York,NY,10019
Scarpetta,88 Madison Ave,New York,NY,10016
Orsay,1057 Lexington Ave,New York,NY,10021
Gabriel Kreuther,41 W 42nd St,New York,NY,10036
1803 NYC,82 Reade St,New York,NY,10007
ilili Restaurant NYC,236 5th Ave,New York,NY,10001
Marea,240 Central Park S,New York,NY,10019
Le Coucou,138 Lafayette St,New York,NY,10013
Boucherie Union Square,225 Park Ave S,New York,NY,10003
Lazy Dog Restaurant & Bar,3525 W Carson St,Torrance,CA,90503
La Unica Taqueria & Restaurant,6942 Pecan St,Frisco,TX,75034
République Café Bakery & République Restaurant,624 S La Brea Ave,Los Angeles,CA,90036
Perch,448 S Hill St,Los Angeles,CA,90013
Bavel,500 Mateo St,Los Angeles,CA,90013
71Above,633 W 5th St 71st floor,Los Angeles,CA,90071
Majordomo,1725 Naud St,Los Angeles,CA,90012
Bestia,2121 E 7th Pl,Los Angeles,CA,90021
Redbird,114 E 2nd St,Los Angeles,CA,90012
The Factory Kitchen,1300 Factory Pl,Los Angeles,CA,90013
Water Grill San Diego,615 J St,San Diego,CA,92101
Searsucker San Diego,611 Fifth Ave,San Diego,CA,92101
Top of the Market - San Diego,750 N Harbor Dr,San Diego,CA,92101
Born and Raised,1909 India St,San Diego,CA,92101
Mister A's,2550 Fifth Ave 12th floor,San Diego,CA,92103
Ironside Fish & Oyster,1654 India St,San Diego,CA,92101
North Italia,2301 N Akard St Suite 280,Dallas,TX,75201
Toulouse,3314 Knox St,Dallas,TX,75205
Meso Maya Comida y Copas,1611 McKinney Ave,Dallas,TX,75202
Al Biernat's,4217 Oak Lawn Ave,Dallas,TX,75219
Yardbird Table & Bar,2121 N Pearl St St 170,Dallas,TX,75201
Doc B's,2021 McKinney Ave #190,Dallas,TX,75201
Kenny's Wood Fired Grill,5000 Belt Line Rd #775,Dallas,TX,75254
Iron Cactus Mexican Restaurant and Margarita Bar,200 River Walk Suite 100,San Antonio,TX,78205
Boudro's on the Riverwalk,"On The Riverwalk Level, 421 E Commerce St",San Antonio,TX,78205
Paesanos Riverwalk,111 W Crockett St #101,San Antonio,TX,78205
Iron Cactus Mexican Restaurant and Margarita Bar,200 River Walk Suite 100,San Antonio,TX,78205
Bier Garten Riverwalk,126 Losoya St,San Antonio,TX,78205
Biga on the Banks - San Antonio Riverwalk Restaurant,203 S St Mary's St,San Antonio,TX,78205
The Republic of Texas Restaurant,526 River Walk St,San Antonio,TX,78205
Vic & Anthony's Steakhouse,1510 Texas Ave,Houston,TX,77002
